GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - No bedroom,Margin of Error; Median gross rent -- - Total: - No bedroom,Estimate; Median gross rent -- - Total: - 1 bedroom,Margin of Error; Median gross rent -- - Total: - 1 bedroom,Estimate; Median gross rent -- - Total: - 2 bedrooms,Margin of Error; Median gross rent -- - Total: - 2 bedrooms,Estimate; Median gross rent -- - Total: - 3 bedrooms,Margin of Error; Median gross rent -- - Total: - 3 bedrooms,Estimate; Median gross rent -- - Total: - 4 bedrooms,Margin of Error; Median gross rent -- - Total: - 4 bedrooms,Estimate; Median gross rent -- - Total: - 5 or more bedrooms,Margin of Error; Median gross rent -- - Total: - 5 or more bedrooms
1400000US13033950700,13033950700,"Census Tract 9507, Burke County, Georgia",563,255,-,**,391,49,-,**,700,150,-,**,-,**
1400000US13033950900,13033950900,"Census Tract 9509, Burke County, Georgia",565,157,-,**,-,**,454,432,680,131,-,**,-,**
1400000US13035150100,13035150100,"Census Tract 1501, Butts County, Georgia",749,188,-,**,551,46,726,7,889,129,-,**,-,**
1400000US13035150200,13035150200,"Census Tract 1502, Butts County, Georgia",754,133,-,**,224,54,684,93,932,109,-,**,-,**
1400000US13035150300,13035150300,"Census Tract 1503, Butts County, Georgia",927,89,-,**,-,**,768,415,964,51,1010,157,-,**
1400000US13037950100,13037950100,"Census Tract 9501, Calhoun County, Georgia",590,27,-,**,-,**,580,71,581,29,-,**,-,**
1400000US13037950200,13037950200,"Census Tract 9502, Calhoun County, Georgia",298,219,-,**,187,54,361,171,707,163,786,163,-,**
1400000US13039010100,13039010100,"Census Tract 101, Camden County, Georgia",-,**,-,**,-,**,428,19,-,**,-,**,-,**
1400000US13039010200,13039010200,"Census Tract 102, Camden County, Georgia",763,301,-,**,-,**,582,56,828,247,1685,631,-,**
1400000US13039010301,13039010301,"Census Tract 103.01, Camden County, Georgia",829,89,-,**,633,16,787,57,1073,59,877,398,-,**
1400000US13039010302,13039010302,"Census Tract 103.02, Camden County, Georgia",800,74,-,**,-,**,690,78,870,82,-,**,-,**
1400000US13039010401,13039010401,"Census Tract 104.01, Camden County, Georgia",1002,65,-,**,886,269,855,81,1026,74,1236,152,-,**
1400000US13039010402,13039010402,"Census Tract 104.02, Camden County, Georgia",1289,133,-,**,-,**,-,**,1203,126,1710,157,-,**
